Survey,n,FWHM,pixscale,Re_intrinsic_arcsec,Re_over_FWHM,R50_obs,R50_intr,rP_obs,rP_intr,rP50_obs,rP50_intr,rP90_obs,rP90_intr
Pan-STARRS1 r,1,1.0,0.258,2.7464013582652957,2.7464013582652957,2.783663129506465,2.7284953818475604,6.023177962194494,,2.772132752923948,2.7168410894891406,6.306127530642652,6.244959995292606
Pan-STARRS1 r,1,1.0,0.258,3.3535079346226064,3.3535079346226064,3.3789110088897365,3.334490427171054,7.318754740084406,,3.365470224310911,3.3189454589198797,7.678075910409565,7.628107747232511
Pan-STARRS1 r,1,1.0,0.258,4.0948186373895785,4.0948186373895785,4.110963705117455,4.075915514103794,8.906300025854968,,4.094522021822962,4.057898270555848,9.35840289755466,9.317820783828973
Pan-STARRS1 r,1,1.0,0.258,5.0,5.0,5.008587159067024,4.978514383503645,10.85007303978639,,4.986975782671406,4.956457349644995,11.414099697305897,11.379975065837574
Pan-STARRS1 r,2,1.0,0.258,0.25,0.25,0.5921880330253604,0.233008262202004,1.1984448685967792,,0.5898015530579671,0.21870467690513207,1.1663438813534768,0.6724089171274623
Pan-STARRS1 r,2,1.0,0.258,0.30526382501689203,0.30526382501689203,0.6264669257607645,0.28681537444692967,1.2693162192054719,,0.6220706067140782,0.26975564358224535,1.2712430382757023,0.8238912924743098
Pan-STARRS1 r,2,1.0,0.258,0.37274401145577474,0.37274401145577474,0.6719301022698868,0.3560260891341367,1.360265782972987,,0.6646724795089012,0.3341917935909158,1.4097024177179185,1.0105734736455385
Pan-STARRS1 r,2,1.0,0.258,0.4551410507565201,0.4551410507565201,0.726260339534632,0.4385857886120012,1.4789640721113462,,0.7151901402406775,0.413633967699925,1.5900844858618977,1.2356414237019728
Pan-STARRS1 r,2,1.0,0.258,0.555752392304571,0.555752392304571,0.7983195563408253,0.5398549971254519,1.6394162231263962,,0.7837830647034436,0.506361104319808,1.8221945101451948,1.509162214996507
Pan-STARRS1 r,2,1.0,0.258,0.6786044041487267,0.6786044041487267,0.8831388426301613,0.6572071538315447,1.8512914777661393,,0.8655119005329976,0.6204969320715586,2.114287200139272,1.8417849150996033
Pan-STARRS1 r,2,1.0,0.258,0.8286135043349969,0.8286135043349969,0.9942840749818123,0.7986189562006009,2.1276328983742174,,0.9743161462811559,0.7622536386856414,2.4840486820472507,2.2516027614977245
Pan-STARRS1 r,2,1.0,0.258,1.0117829111758088,1.0117829111758088,1.1266635726774856,0.9622279834835322,2.484121543525393,,1.1129485591953925,0.9330074640412728,2.948987295134093,2.747517620720277
Pan-STARRS1 r,2,1.0,0.258,1.2354428862090148,1.2354428862090148,1.3128493647903612,1.1775588733402509,2.9360344324096466,,1.2907128179059517,1.1409885954908658,3.5239237107221113,3.356153419932127
Pan-STARRS1 r,2,1.0,0.258,1.508544084136291,1.508544084136291,1.5525839969380746,1.4399701116042822,3.502608140820443,,1.5208010143309805,1.3974625294035157,4.238146999059305,4.09721162559548
Pan-STARRS1 r,2,1.0,0.258,1.8420157493201934,1.8420157493201934,1.8525224486420986,1.7625927060468538,4.205824374187696,,1.8108026139429052,1.70749283847711,5.119411589737867,5.002355464121517
Pan-STARRS1 r,2,1.0,0.258,2.2492030935153555,2.2492030935153555,2.230332021627248,2.1556339720419064,5.076611068985975,,2.1717458732446784,2.0886616855348046,6.204535020794321,6.107454746862893
Pan-STARRS1 r,2,1.0,0.258,2.7464013582652957,2.7464013582652957,2.6959158219955635,2.635362791993659,6.1471851865775395,,2.6218200114536567,2.5532961863740944,7.537186630191106,7.457653114159622
Pan-STARRS1 r,2,1.0,0.258,3.3535079346226064,3.3535079346226064,3.2705255343152237,3.220667931856497,7.463975681829125,,3.176583002776047,3.1207047938846606,9.17116879495963,9.105145371033645
Pan-STARRS1 r,2,1.0,0.258,4.0948186373895785,4.0948186373895785,3.975893635832286,3.9352600944526626,9.07810460909827,,3.85806947374676,3.8120626872433863,11.171756172112978,11.11724859575527
Pan-STARRS1 r,2,1.0,0.258,5.0,5.0,4.841658091224542,4.8087393981013955,11.054063836730858,,4.69610843826238,4.659219205255527,13.61899794985016,13.574643589875953
Pan-STARRS1 r,4,1.0,0.258,0.25,0.25,0.5338589189182433,0.016666666666666666,1.057042133282203,,0.5252612681244989,0.016666666666666666,1.02457190367855,0.02383550216319074
Pan-STARRS1 r,4,1.0,0.258,0.30526382501689203,0.30526382501689203,0.5587272085528842,0.016666666666666666,1.0909257098846052,,0.5454297510307228,0.016666666666666666,1.0979757791049574,0.0366179509333508
Pan-STARRS1 r,4,1.0,0.258,0.37274401145577474,0.37274401145577474,0.5902867256606799,0.05893680938557775,1.1396429323686765,,0.5701406869520489,0.016666666666666666,1.2075540536414462,0.046989572549251075
Pan-STARRS1 r,4,1.0,0.258,0.4551410507565201,0.4551410507565201,0.6335677029282201,0.1562596483250379,1.2074897695828537,,0.6022285838680367,0.016666666666666666,1.3621029082511509,0.05604881017762628
Pan-STARRS1 r,4,1.0,0.258,0.555752392304571,0.555752392304571,0.690135870501075,0.26801045870358653,1.3027047785010313,,0.6455319974252108,0.016666666666666666,1.5630140136024073,0.06359596515061058
Pan-STARRS1 r,4,1.0,0.258,0.6786044041487267,0.6786044041487267,0.7584775520475926,0.40178004809854895,1.4403173117455255,,0.7017195639262465,0.016666666666666666,1.8177631732044572,0.0699266515063554
Pan-STARRS1 r,4,1.0,0.258,0.8286135043349969,0.8286135043349969,0.8406756167361791,0.5443303333570453,1.6435273462383466,,0.7767438352501455,0.38522988591230994,2.143004045369792,1.5098772709983561
Pan-STARRS1 r,4,1.0,0.258,1.0117829111758088,1.0117829111758088,0.9396477440958915,0.6961408097470645,1.9346272795172053,,0.8724602699175222,0.5546858508287928,2.5698667018553407,2.0735684736313096
Pan-STARRS1 r,4,1.0,0.258,1.2354428862090148,1.2354428862090148,1.0945354064982336,0.9039556034188869,2.3219115660330525,,1.0044424311411582,0.7468921439490724,3.1172896519656077,2.7228596684979784
Pan-STARRS1 r,4,1.0,0.258,1.508544084136291,1.508544084136291,1.2978798193669765,1.1508039248832074,2.8117815958117998,,1.1750474949582512,0.9733895555732686,3.798173667650907,3.4787990715990937
Pan-STARRS1 r,4,1.0,0.258,1.8420157493201934,1.8420157493201934,1.5617831434950207,1.4458726801482613,3.4130098359922885,,1.3976352049037994,1.239173501309359,4.631891717935671,4.372088487992943
Pan-STARRS1 r,4,1.0,0.258,2.2492030935153555,2.2492030935153555,1.8911069099220759,1.800837513472583,4.15048298043395,,1.6792235812019127,1.554054854515959,5.648643269554446,5.440220048232925
Pan-STARRS1 r,4,1.0,0.258,2.7464013582652957,2.7464013582652957,2.2999512265091826,2.227274982599128,5.054761708585137,,2.0333242211894587,1.9310442725692911,6.894247383813424,6.722516938834311
Pan-STARRS1 r,4,1.0,0.258,3.3535079346226064,3.3535079346226064,2.80128205838133,2.7415171057880103,6.159115797151342,,2.469462389607003,2.387894632565308,8.413235556982555,8.272496725605556
Pan-STARRS1 r,4,1.0,0.258,4.0948186373895785,4.0948186373895785,3.414986141915011,3.367050288295091,7.508531560387787,,3.004620611342771,2.9375104057743298,10.267117423120647,10.152380004449402
Pan-STARRS1 r,4,1.0,0.258,5.0,5.0,4.167581733593886,4.1274545451395594,9.155325925729832,,3.6613272519513784,3.605444568036646,12.52828848177103,12.434541492834928
