Survey,n,FWHM,pixscale,Re_intrinsic_arcsec,Re_over_FWHM,R50_obs,R50_intr,rP_obs,rP_intr,rP50_obs,rP50_intr,rP90_obs,rP90_intr
KiDS r,2,0.72,0.214,0.32770155654469446,0.4551410507565201,0.5229074444649349,0.31578176780064104,1.0648541319201692,,0.5149335940098284,0.2978164567439461,1.1448314290067905,0.8896618250654204
KiDS r,2,0.72,0.214,0.4001417224592911,0.555752392304571,0.575330942310614,0.3874928860982073,1.1804645879467657,,0.5643429882876138,0.36457999511026173,1.312003510182354,1.086596794797486
KiDS r,2,0.72,0.214,0.4885951709870832,0.6786044041487267,0.6358599666937161,0.47318915075871204,1.3329298639916207,,0.6231685683837582,0.4467577910915223,1.5222867841002765,1.326085138871715
KiDS r,2,0.72,0.214,0.5966017231211977,0.8286135043349969,0.7158845339869043,0.5755581175032214,1.5318956868294367,,0.701507625322432,0.5488226198536623,1.7885150510740182,1.6207339818782773
KiDS r,2,0.72,0.214,0.7284836960465823,1.0117829111758088,0.8105702160509074,0.6928041481081431,1.7885675113382837,,0.8005587692213171,0.6717688516700703,2.12361889517151,1.9782377019749153
KiDS r,2,0.72,0.214,0.8895188780704906,1.2354428862090148,0.9451577890518315,0.8478423888049806,2.1139608120971194,,0.928676777339208,0.8212702694387032,2.5372326601485424,2.4164304623511326
KiDS r,2,0.72,0.214,1.0861517405781294,1.508544084136291,1.1178604777954144,1.0367784803550832,2.521877861390719,,1.0949767303183064,1.0061842834509074,3.0514658393227023,2.9500722945093307
KiDS r,2,0.72,0.214,1.3262513395105393,1.8420157493201934,1.3338161630223104,1.2690667483537348,3.028193549415141,,1.3037778820388912,1.229394843703519,3.685991986055958,3.601695934167484
KiDS r,2,0.72,0.214,1.619426227331056,2.2492030935153555,1.6056596721738305,1.5520564598701725,3.655159969669901,,1.5636570287361677,1.5038364135850593,4.467265214971908,4.397367417741283
KiDS r,2,0.72,0.214,1.977408977951013,2.7464013582652957,1.941059391836807,1.897461210235434,4.425932458952843,,1.8877045975847655,1.8383360422471415,5.426729948436839,5.369510242194928
KiDS r,2,0.72,0.214,2.4145257129282767,3.3535079346226064,2.354778384706962,2.3191504392539013,5.37406249091697,,2.287139761998753,2.2468977602443228,6.60324153237093,6.5555897010996
KiDS r,2,0.72,0.214,2.9482694189204963,4.0948186373895785,2.862643417799249,2.833387268005916,6.536147609412552,,2.777803780950956,2.744905712235918,8.043618692054702,8.004418988943792
KiDS r,2,0.72,0.214,3.5999999999999996,5.0,3.4859938256816663,3.462292366633002,7.958925962446206,,3.3811985152486925,3.3546378277839763,9.805681877431518,9.773743384710663
KiDS r,4,0.72,0.214,0.18,0.25,0.3834783460371841,0.012,0.7610703359631863,,0.37773815507945674,0.012,0.737691770648556,0.017161561557497332
KiDS r,4,0.72,0.214,0.21978995401216225,0.30526382501689203,0.4009223062211078,0.012,0.7854048342497709,,0.39119919096822636,0.012,0.7901705079791436,0.02636492467201258
KiDS r,4,0.72,0.214,0.26837568824815783,0.37274401145577474,0.42500644247568964,0.04243450275761587,0.8200549267870879,,0.40975491750726917,0.012,0.8692962387426267,0.03383249223546082
KiDS r,4,0.72,0.214,0.32770155654469446,0.4551410507565201,0.4561687461083187,0.11250694679402738,0.8693926340996546,,0.43360458038498656,0.012,0.9807140939408303,0.040355143327890926
KiDS r,4,0.72,0.214,0.4001417224592911,0.555752392304571,0.4968978267607742,0.19296753026658237,0.937558216066622,,0.4647636393633238,0.012,1.1251669106517208,0.04578909490843962
KiDS r,4,0.72,0.214,0.4885951709870832,0.6786044041487267,0.5461038374742666,0.2892816346309555,1.0370284644567787,,0.5052380860268975,0.012,1.3087894847072086,0.05034718908457589
KiDS r,4,0.72,0.214,0.5966017231211977,0.8286135043349969,0.6056173610473858,0.3904778490535523,1.1833170279185652,,0.5592518492516027,0.27736551785686325,1.542926844431759,1.087111635118817
KiDS r,4,0.72,0.214,0.7284836960465823,1.0117829111758088,0.6765463757490419,0.5012213830178862,1.3929316412523884,,0.6281713943406162,0.3977882175056321,1.85008092267842,1.49296930101454
KiDS r,4,0.72,0.214,0.8895188780704906,1.2354428862090148,0.7877784397858294,0.650848034461598,1.671776327543799,,0.7231985504216342,0.5377623436433321,2.2444485494152397,1.9604589613185435
KiDS r,4,0.72,0.214,1.0861517405781294,1.508544084136291,0.9340105451780318,0.8285788259159089,2.024010212660087,,0.8459653148657229,0.7008404800127529,2.734290993356331,2.5047353315513474
KiDS r,4,0.72,0.214,1.3262513395105393,1.8420157493201934,1.124483863316415,1.0410283297067493,2.457367081914448,,1.006297347530736,0.892203924134787,3.334962036913682,3.1478971062034637
KiDS r,4,0.72,0.214,1.619426227331056,2.2492030935153555,1.3615969751438957,1.2966030097002588,2.9883477459124426,,1.2091126796737484,1.11891949525149,4.067523313775591,3.9169584347277038
