RA,DEC,Target ID,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity
213.381160915365,-4.123055057034579,39627691699210094,3893613,1.0420050024986267,0.4424987823156277,74.15433,0.9107892135232559,0.9755263727182738,0.12967480055317626,7.213713461803619e-05
308.510102661744,-3.9947497074211498,39627693293047094,3746630,0.9768019914627075,0.41480961295701446,104.94224,0.8578600795834023,0.9239752084039654,0.13400345841602634,5.3647025248184196e-05
157.8125749148905,-3.721526898588001,39627696799483936,4549857,1.0973000526428223,0.4659804280833699,84.004654,1.5557673050343122,1.8525147398368598,0.28207606666677043,0.0002599228236961623
71.26276913303329,-3.619583797982981,39627701379666157,4292106,1.2601799964904785,0.5351491716531214,122.634315,1.3276224883380585,1.6008368752552582,0.3036610287544542,0.0006068270818121859
164.3992182952983,-3.611709539642607,39627702939946842,4535557,1.2545000314712524,0.5327371125952703,71.6154,1.432825131945436,1.5080359020834637,0.09207181596040748,0.00015691004052159388
215.58178326139495,-3.428833987229864,39627703799775919,3895006,1.1043399572372437,0.4689700003053649,92.1804,0.7243704243672121,0.7283044142273989,0.01061727004969748,0.0010594264680657062
170.07566512065165,-3.2102233533975917,39627709067823130,4412620,1.0379400253295898,0.44077254545195965,115.27287,1.6371200195506097,1.8372144155581909,0.19966632479710456,0.0002459808336625388
226.09941272620492,-2.883774480526679,39627716042951294,3895060,0.952364981174469,0.4044321701711827,105.60229,1.4471989000912346,1.4696440913388449,0.022449869697347302,0.0004767819317140377
158.31582728079033,-2.815228006934369,39627720946091327,4535781,1.1644200086593628,0.49448364902298036,96.711334,1.5387827336323467,1.752941522170277,0.20351554854933562,0.00018660224069532032
196.01808383730008,-2.760284380924672,39627721579430410,3516548,0.9511865079402924,0.40393171866676164,85.75745,1.289671589578429,1.5962042746009273,0.3345959631416038,0.00034336096380908513
19.511564724844977,-2.477453058460686,39627724658049439,4012525,1.1903200149536133,0.5054823690096323,147.38333,1.388670772003662,1.4881242445512117,0.12762510257659043,0.0002703356572262232
48.20205176615764,-2.3821773259097747,39627725136203781,4166622,1.058044970035553,0.4493103293681395,72.44653,1.5883533462804695,1.9158842431272587,0.25452932453205446,0.00046638650567550234
149.1502140749449,-2.579172316589553,39627726830702609,4511514,1.1279500126838684,0.4789962677037785,102.6658,2.682404743356192,3.03914717608485,0.22405932783281868,0.0005290094644884359
152.4974347808635,-2.5402494997361327,39627726885230231,4551584,1.2589000463485718,0.5346056268737198,91.402306,2.076295873510707,2.549677739452966,0.2903337285560452,0.0006232552323257324
210.47528983148155,-2.4872163025282834,39627727858307461,3894940,0.9208899736404419,0.3910659651397433,80.4185,1.1484861450168482,1.3722923073769036,0.2819532947519585,0.00027837589467507727
326.9261850587448,-2.593168031551445,39627729812853020,3739455,1.16743004322052,0.495761893009186,85.98349,1.4616930012933453,1.7382685132688078,0.2794039149947386,0.0001760507238143324
4.201224773493035,-2.1424645745509503,39627730437806056,3952945,1.1241649985313416,0.47738892018670864,154.99146,0.9654823364766347,1.0746839211199224,0.18416478490644084,0.00036949325252977425
219.7870958230384,-2.2144909825031647,39627734057485183,3521350,1.0727200508117676,0.45554226238025286,89.8894,1.776130078965098,2.1112938745226826,0.25376314810581113,0.0010194579194983335
68.85977739112691,-2.0378239162777807,39627737563925004,4292629,1.0846500396728516,0.46060846218870877,110.618805,1.2951669726370012,1.3916151780872952,0.12394362176819651,7.922133866868983e-05
136.53961300281688,-1.8781727640145656,39627738700579765,4511210,1.2544299960136414,0.5327073712747993,102.61283,1.2085586695170043,1.2381427678649084,0.04954569867432679,2.3852166428774043e-05
168.73921070289842,-1.9094961545630456,39627739237455559,4412465,1.2278800010681152,0.5214326265224132,112.55412,1.4754652082208146,1.8636670094221521,0.34294378675462067,0.0003024982576845454
189.34950224716908,-1.988196257789369,39627739585579211,3434480,1.147379994392395,0.4872474212259031,87.26526,1.606864871761758,1.9702331140112954,0.3082376587030137,0.0002370345742104934
213.16382939200255,-2.042055399035509,39627739984040153,3894944,1.0010199546813965,0.42509403501711746,83.07878,2.061513083478654,2.432024759313182,0.2899315771346028,0.0007582063153127983
175.8723513720275,-1.6681703962197467,39627745398885107,4412729,1.203029990196228,0.5108797985369692,169.1488,4.797534079152896,5.214939875004406,0.1825204904180967,0.004963659247390515
179.58197828944444,-1.6327900382377334,39627745461798909,3440705,1.0580250024795532,0.449301849927835,74.52411,0.9574455184630379,1.070395631646593,0.2017492367906929,1.3260977562510112e-05
179.84816221777015,-1.654531555171429,39627745465993118,3440704,1.040410041809082,0.44182146487351137,121.483894,4.90739792209887,5.416052983652036,0.17392704032213546,0.006620034358863821
174.66402956602934,-1.5371839593449077,39627751417711955,4412689,1.4115300178527832,0.5994216079616528,81.746315,3.2057466699805186,3.3776612865154774,0.0967608633069098,0.0009957171216991708
321.24471650556416,-1.610454146178334,39627753875581154,3739375,1.106760025024414,0.46999770847027417,81.4268,1.4308553648742135,1.54796881716307,0.14627503924180607,0.00011845711428412383
326.5458021384426,-1.494835506010588,39627753967846943,3739520,1.1334799528121948,0.4813446170564161,96.34897,1.2568490568185857,1.4329057084020775,0.19328283137480318,0.00011628793688814928
