Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
199,199,199,39627599013479027,63.550085814382655,-7.683198049121196,main,bright,22708,True,True,True,True,
200,200,200,39627600271770033,139.17643800977626,-7.653975592799429,main,dark,40824,True,False,True,True,
201,201,201,39627600439542975,149.30529324934452,-7.776299882639444,main,bright,26799,True,True,True,True,
202,202,202,39627600636674465,161.10943852259254,-7.683816772479403,main,bright,26746,True,True,True,True,
203,203,203,39627600636675823,161.16669124475396,-7.855922987864291,main,bright,26744,True,True,True,True,
204,204,204,39627600657648683,162.49784619971285,-7.864878709861414,main,bright,26738,True,True,True,True,
205,205,205,39627600716367001,165.93565550115238,-7.709588858101379,main,dark,26719,True,True,True,True,
206,206,206,39627600804446378,171.18345972415102,-7.636261694996669,main,bright,25519,True,True,True,True,
207,207,207,39627601064498233,187.01261761664904,-7.632326527428846,main,bright,25460,True,True,True,True,
208,208,208,39627601068687885,187.07692142446967,-7.674733814158235,main,dark,25460,True,False,True,True,
209,209,209,39627601169352002,193.16862322843144,-7.788819046187497,main,bright,26116,True,True,True,True,
210,210,210,39627601173546198,193.4232248020813,-7.853429757112606,main,bright,25774,True,True,True,True,
211,211,211,39627601232267642,197.00790602012304,-7.861733610031511,main,bright,25779,True,True,True,True,
212,212,212,39627601303571193,201.27582466413088,-7.815270842535235,main,bright,25800,True,True,True,True,
213,213,213,39627601345513044,203.77364636067696,-7.764158956823885,main,bright,25796,True,True,True,True,
214,214,214,39627601374872709,205.51757754124756,-7.719457891658702,main,bright,25711,True,True,True,True,
215,215,215,39627601471340612,211.26146172493665,-7.7177223531332,main,dark,25695,True,True,True,True,
216,216,216,39627603086152439,308.45662987454125,-7.810637288731793,main,bright,49080,True,True,True,True,
217,217,217,39627603383946775,326.3844163736008,-7.768737725841547,main,bright,18947,True,True,True,True,
218,218,218,39627603509776219,333.9411192317991,-7.767440850226358,main,bright,18612,True,True,True,True,
219,219,219,39627603576886275,338.0539738219784,-7.790038869240906,main,bright,18627,True,True,True,True,
220,220,220,39627603832734094,353.2089783693149,-7.637718223131583,main,bright,17336,True,True,True,True,
221,221,221,39627604612879220,40.15925458214328,-7.533573177309066,main,dark,36790,True,False,True,True,
222,222,222,39627604860341592,55.03650127390917,-7.534550967309096,main,dark,23048,True,True,True,True,
223,223,223,39627605015527803,64.21165198820606,-7.537997546747738,main,dark,22709,True,True,True,True,
224,224,224,39627606202517839,135.54263645053408,-7.433210395735096,main,bright,40902,True,True,False,False,Galaxy size processing returned None
225,225,225,39627606227685319,137.12143610955823,-7.463722868200709,main,bright,40901,True,True,True,True,
226,226,226,39627606265431967,139.30662134439993,-7.421248385337904,main,bright,40824,True,True,False,False,Galaxy size processing returned None
227,227,227,39627606265431967,139.30662134439993,-7.421248385337904,main,dark,40824,True,True,False,False,Galaxy size processing returned None
228,228,228,39627606412233757,148.17844383792044,-7.421079884100584,main,bright,27141,True,True,True,True,
229,229,229,39627606479344325,152.26858537078303,-7.380123414168385,main,bright,26806,True,True,True,True,
230,230,230,39627606571616667,157.70994415226755,-7.577846895125251,main,bright,26819,True,True,True,True,
231,231,231,39627606600977915,159.50818761335705,-7.392006981491965,main,dark,26821,True,True,True,True,
232,232,232,39627606718419976,166.61580259176208,-7.42629758706204,main,dark,26890,True,True,True,True,
233,233,233,39627606798109022,171.3071844908081,-7.467521615346826,main,bright,25519,True,True,True,True,
234,234,234,39627606798109022,171.3071844908081,-7.467521615346826,main,dark,25519,True,True,True,True,
235,235,235,39627606877801913,176.12150297060495,-7.595733824444649,main,bright,25524,True,True,True,True,
236,236,236,39627607217539583,196.47332363521355,-7.460915453216009,main,bright,25785,True,True,True,True,
237,237,237,39627607280451742,200.14645384331075,-7.596911985550753,main,bright,25759,True,True,True,True,
238,238,238,39627607653744878,222.55265783811703,-7.38690508195919,main,bright,45002,True,True,True,True,
239,239,239,39627609092397155,309.0874291139227,-7.408347085754402,main,bright,49081,True,True,True,True,
240,240,240,39627609729927269,347.2803628585208,-7.597465650059356,main,bright,18696,True,True,True,True,
241,241,241,39627611160187463,73.22462841702503,-7.346952684614996,main,dark,22643,True,True,True,True,
242,242,242,39627612141653483,132.05184726733026,-7.284463460514619,main,dark,40885,True,True,False,False,Galaxy size processing returned None
243,243,243,39627612309422487,142.0064346824311,-7.24647017189391,main,bright,40820,True,True,True,True,
244,244,244,39627612326205238,143.24054401656022,-7.142917927304646,main,bright,40821,True,True,True,True,
245,245,245,39627612540112222,155.99219492863546,-7.271401421378316,main,dark,26824,True,True,True,True,
246,246,246,39627612607221734,160.08276390673055,-7.339143036427585,main,bright,26821,True,True,True,True,
247,247,247,39627612657554224,163.08953739879792,-7.369255333425125,main,bright,26739,True,True,True,True,
248,248,248,39627612737242495,167.73580754305718,-7.290177646677196,main,bright,26889,True,True,True,True,
249,249,249,39627612741437590,168.02064075196685,-7.287984209928208,main,bright,26889,True,True,True,True,
250,250,250,39627612833714280,173.68273745832929,-7.324276478976733,main,bright,25529,True,True,True,True,
251,251,251,39627613223784703,197.06607317621183,-7.329863621693152,main,bright,25782,True,True,True,True,
252,252,252,39627613227975280,197.14545454299483,-7.304662403050217,main,bright,25782,True,True,True,True,
253,253,253,39627613282505143,200.61301330931784,-7.1723178005490285,main,bright,25802,True,True,True,True,
254,254,254,39627613404140213,207.89524422338172,-7.179035779995969,main,dark,25721,True,True,True,True,
255,255,255,39627613714515394,226.37388005024016,-7.181922412539991,main,bright,44998,True,True,True,True,
256,256,256,39627615744560259,348.32598031821897,-7.325284015472708,main,bright,18697,True,True,True,True,
257,257,257,39627615752947484,348.75554285591693,-7.374680669319904,main,bright,18691,True,True,False,False,Galaxy size processing returned None
258,258,258,39627615861998138,355.24888224755443,-7.334438575849632,main,bright,17334,True,True,True,True,
259,259,259,39627615870386884,355.7603443298097,-7.332940605972315,main,bright,17332,True,True,True,True,
260,260,260,39627616113658647,10.417597452057588,-7.123327262235057,main,dark,17929,True,True,True,True,
261,261,261,39627616432424407,29.49854881216192,-7.06079264373049,main,bright,17527,True,True,True,True,
262,262,262,39627616923161289,59.13594927989812,-7.104161234331823,main,bright,23056,True,True,True,True,
263,263,263,39627616927354336,59.32096683827407,-6.896262103794711,main,bright,23056,True,True,True,True,
264,264,264,39627616939938146,60.13603271543426,-6.882181182706771,main,bright,22715,True,True,True,True,
265,265,265,39627616952518947,60.78252821172553,-6.911553834872133,main,dark,22715,True,True,True,True,
266,266,266,39627616952522143,60.91979007393435,-6.9656609676816785,main,dark,22713,True,True,True,True,
267,267,267,39627617082543351,68.62384512660194,-6.930783655209582,main,bright,22727,True,True,True,True,
268,268,268,39627617086736192,68.82425709073227,-6.888243328965965,main,bright,22727,True,True,True,True,
269,269,269,39627618118535391,130.75996739333888,-7.005998506233629,main,bright,40887,True,True,True,True,
270,270,270,39627618147895724,132.52083689318292,-6.991455798629409,main,dark,40906,True,True,True,True,
271,271,271,39627618164675388,133.62782971524933,-7.038360763180121,main,bright,40907,True,True,True,True,
272,272,272,39627618449886289,150.70378727616267,-7.088702793335208,main,bright,26809,True,True,True,True,
273,273,273,39627618470855337,151.83047382834687,-6.918628498909702,main,bright,26812,True,True,True,True,
274,274,274,39627618579909434,158.48328920322632,-6.997166430122042,main,bright,26822,True,True,True,True,
275,275,275,39627618978368205,182.40591199674313,-6.893069065138882,main,bright,25541,True,True,True,True,
276,276,276,39627619037085873,185.8001244965392,-7.0808378727065575,main,dark,25462,True,True,True,True,
277,277,277,39627619053866413,186.9658444387129,-7.0755905264459455,main,bright,25463,True,True,True,True,
278,278,278,39627619104198736,190.0435587582168,-7.013530493843512,main,bright,26121,True,True,True,True,
279,279,279,39627619120976153,191.0550787770281,-6.947633497260867,main,bright,26124,True,True,True,True,
280,280,280,39627619251000727,198.8457236982645,-7.018835923529145,main,bright,25781,True,True,True,True,
281,281,281,39627619343273540,204.2987235270945,-7.057515673212616,main,bright,25797,True,True,True,True,
282,282,282,39627619498461284,213.5641805925898,-7.077732619546181,main,bright,25865,True,True,True,True,
283,283,283,39627619498465391,213.73141255641383,-7.052324534954752,main,bright,25868,True,True,True,True,
284,284,284,39627619636875589,221.9504375226356,-6.951483828545669,main,dark,45024,True,True,False,False,Galaxy size processing returned None
